time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523319335563,2018-04-10T00:15:35.562999Z,1017.9430239458395,-84,316,964,3007,20,1012.13,28.97,C2:9A:9F:E5:58:27
1523319340769,2018-04-10T00:15:40.769000Z,1021.4107890559998,-80,328,964,3013,20,1012.14,28.96,C2:9A:9F:E5:58:27
1523319346328,2018-04-10T00:15:46.328000Z,1015.7558761828552,-72,324,960,3019,20,1012.13,28.97,C2:9A:9F:E5:58:27
1523319351573,2018-04-10T00:15:51.572999Z,1009.7841353477485,-76,328,952,3001,20,1012.17,28.98,C2:9A:9F:E5:58:27
1523319356872,2018-04-10T00:15:56.871999Z,1019.8274363832344,-76,324,964,3007,20,1012.16,28.97,C2:9A:9F:E5:58:27
1523319362440,2018-04-10T00:16:02.440000Z,1013.5245433634057,-76,316,960,2995,20,1012.2,28.96,C2:9A:9F:E5:58:27
1523319367563,2018-04-10T00:16:07.562999Z,1017.9587417965425,-84,328,960,3001,20,1012.15,28.97,C2:9A:9F:E5:58:27
1523319372583,2018-04-10T00:16:12.582999Z,1017.3141107838817,-76,316,964,3013,20,1012.14,28.96,C2:9A:9F:E5:58:27
1523319377643,2018-04-10T00:16:17.642999Z,1009.7365993168713,-76,316,956,2995,20,1012.12,28.97,C2:9A:9F:E5:58:27
1523319382683,2018-04-10T00:16:22.683000Z,1018.8699622621132,-80,320,964,3001,20,1012.18,28.97,C2:9A:9F:E5:58:27
1523319387713,2018-04-10T00:16:27.713000Z,1013.5561158613765,-76,328,956,3007,20,1012.18,28.97,C2:9A:9F:E5:58:27
1523319393283,2018-04-10T00:16:33.282999Z,1015.4092770897851,-84,320,960,3001,20,1012.2,28.97,C2:9A:9F:E5:58:27
1523319398823,2018-04-10T00:16:38.822999Z,1014.4870625099169,-72,320,960,3001,20,1012.18,28.97,C2:9A:9F:E5:58:27
1523319404394,2018-04-10T00:16:44.394000Z,1018.8699622621132,-80,320,964,3001,20,1012.18,28.97,C2:9A:9F:E5:58:27
1523319409593,2018-04-10T00:16:49.592999Z,1017.3298383513579,-76,328,960,3013,20,1012.2,28.96,C2:9A:9F:E5:58:27
1523319415003,2018-04-10T00:16:55.003000Z,1011.6283902698658,-84,320,956,3007,20,1012.17,28.96,C2:9A:9F:E5:58:27
1523319421053,2018-04-10T00:17:01.052999Z,1016.3542689436592,-80,324,960,3001,20,1012.11,28.96,C2:9A:9F:E5:58:27
1523319426583,2018-04-10T00:17:06.582999Z,1013.5245433634057,-76,316,960,2995,20,1012.15,28.95,C2:9A:9F:E5:58:27
1523319431673,2018-04-10T00:17:11.673000Z,1010.9955489516262,-76,320,956,3007,20,1012.25,28.96,C2:9A:9F:E5:58:27
1523319436703,2018-04-10T00:17:16.703000Z,1015.0862032359616,-80,320,960,3001,20,1012.19,28.96,C2:9A:9F:E5:58:27
1523319442243,2018-04-10T00:17:22.243000Z,1007.5236969917879,-80,320,952,3013,20,1012.22,28.96,C2:9A:9F:E5:58:27
1523319447583,2018-04-10T00:17:27.582999Z,1010.9955489516262,-76,320,956,3013,20,1012.2,28.96,C2:9A:9F:E5:58:27
1523319452843,2018-04-10T00:17:32.842999Z,1011.3041085647778,-80,320,956,3001,20,1012.26,28.97,C2:9A:9F:E5:58:27
1523319458383,2018-04-10T00:17:38.382999Z,1010.0930650192585,-80,328,952,3019,20,1012.2,28.96,C2:9A:9F:E5:58:27
